"Taxon","Estimated_Spatiotemporal_probability","Number_of_records","Max_probability","Min_probability"
"Hypericum perforatum L. subsp. perforatum",100,9,85.7,2.2
"Hypochaeris glabra L.",100,10,85.7,66
"Isoetes histrix Bory",100,10,72.8,67
"Juncus bulbosus L.",100,9,87.2,32.9
"Juncus effusus L. subsp. effusus",100,10,91.3,91.3
"Juncus littoralis C.A.Mey.",100,6,85.7,77.8
"Juncus maritimus Lam.",100,5,85.7,72.6
"Juniperus macrocarpa Sm.",100,10,84.6,71.3
"Lagurus ovatus L. subsp. ovatus",100,9,85.7,64.1
"Laurus nobilis L.",100,8,91.3,2.2
"Lemna minor L.",100,7,90.9,2.2
"Leucojum aestivum L. subsp. aestivum",100,5,91.3,69.2
"Ligustrum vulgare L.",100,10,91.3,91.3
"Lilium bulbiferum L. subsp. croceum (Chaix) Jan",100,5,91.3,69.2
"Limniris pseudacorus (L.) Fuss",100,10,91.3,80.2
"Limodorum abortivum (L.) Sw.",100,6,85.7,25.8
"Limonium narbonense Mill.",100,8,85.7,65.8
"Linum maritimum L. subsp. maritimum",100,7,86.9,23.2
"Lolium perenne L.",100,6,85.7,2.2
"Lonicera caprifolium L.",100,10,91.3,91.3
"Lonicera etrusca Santi",100,5,90.4,69.2
"Lonicera japonica Thunb.",100,9,88.5,1.3
"Luzula campestris (L.) DC. subsp. campestris",100,7,85.7,75
"Luzula forsteri (Sm.) DC.",100,10,91.3,91.3
"Lychnis flos-cuculi L. subsp. flos-cuculi",100,10,91.3,84.7
"Lycopus europaeus L.",100,10,91.3,72.1
"Lysimachia arvensis (L.) U.Manns & Anderb. subsp. arvensis",100,10,85.7,17.8
"Lysimachia nummularia L.",100,10,91.3,85.7
"Lysimachia vulgaris L.",100,10,91.3,76.4
"Lythrum salicaria L.",100,10,91.3,85.7
"Malus sylvestris (L.) Mill.",100,8,91.3,70.9
"Melica uniflora Retz.",100,10,91.3,89.9
"Mentha aquatica L. subsp. aquatica",100,10,91.3,84.7
"Moehringia trinervia (L.) Clairv.",100,10,91.5,91.3
"Monotropa hypopitys L.",100,6,85.1,57.8
"Muscari comosum (L.) Mill.",100,6,85.7,2.2
"Myosotis discolor Pers. subsp. discolor",100,6,85.7,66.8
"Myosotis scorpioides L. subsp. scorpioides",100,7,86.1,2.2
"Myosotis sylvatica Hoffm. subsp. sylvatica",100,9,91.3,91.3
"Myrtus communis L.",100,10,91.3,91.3
"Oenanthe lachenalii C.C.Gmel.",100,10,91.3,81.2
"Oenanthe pimpinelloides L.",100,5,91.5,31.7
"Oenanthe silaifolia M.Bieb.",100,6,91.3,26.2
"Osmunda regalis L.",100,10,87.2,75.8
